match_id,team,opponent,corners_for,corners_against,cards,fouls,referee
3857276,Canada,Morocco,6,2,4,16,Raphael Claus
3857276,Morocco,Canada,2,6,0,15,Raphael Claus
3857271,England,Iran,8,0,0,9,Raphael Claus
3857271,Iran,England,0,8,2,21,Raphael Claus
3857296,Croatia,Belgium,2,4,0,11,Anthony Taylor
3857296,Belgium,Croatia,4,2,1,10,Anthony Taylor
3857274,Netherlands,Ecuador,2,5,0,16,Mustapha Ghorbal
3857274,Ecuador,Netherlands,5,2,1,13,Mustapha Ghorbal
3857255,Japan,Spain,0,2,3,11,Victor Miguel de Freitas Gomes
3857255,Spain,Japan,2,0,0,8,Victor Miguel de Freitas Gomes
3857272,England,United States,3,7,0,11,Jesús Valenzuela Sáez
3857272,United States,England,7,3,0,16,Jesús Valenzuela Sáez
3857278,Iran,United States,1,5,3,21,Antonio Miguel Mateu Lahoz
3857278,United States,Iran,5,1,1,13,Antonio Miguel Mateu Lahoz
3857277,Morocco,Croatia,0,5,1,18,Fernando Andrés Rapallini
3857277,Croatia,Morocco,5,0,0,12,Fernando Andrés Rapallini
3857273,Wales,Iran,2,7,2,9,Mario Alberto Escobar Toca
3857273,Iran,Wales,7,2,2,10,Mario Alberto Escobar Toca
3857275,Tunisia,France,7,8,1,16,Matthew Conger
3857275,France,Tunisia,8,7,0,8,Matthew Conger
3857261,Wales,England,1,6,2,19,Slavko Vinčić
3857261,England,Wales,6,1,0,11,Slavko Vinčić
3857290,Switzerland,Cameroon,11,5,2,14,Facundo Tello Figueroa
3857290,Cameroon,Switzerland,5,11,1,10,Facundo Tello Figueroa
3857298,Portugal,Ghana,3,3,2,15,Ismail Elfath
3857298,Ghana,Portugal,3,3,4,20,Ismail Elfath
3857285,Senegal,Netherlands,6,7,2,13,Wilton Pereira Sampaio
3857285,Netherlands,Senegal,7,6,1,16,Wilton Pereira Sampaio
3857282,United States,Wales,5,3,4,17,Abdulrahman Ibrahim Al Jassim
3857282,Wales,United States,3,5,2,10,Abdulrahman Ibrahim Al Jassim
3857297,Poland,Saudi Arabia,4,5,3,18,Wilton Pereira Sampaio
3857297,Saudi Arabia,Poland,5,4,2,16,Wilton Pereira Sampaio
3857294,Netherlands,Qatar,4,2,1,19,Bakary Papa Gassama
3857294,Qatar,Netherlands,2,4,0,8,Bakary Papa Gassama
3857266,France,Denmark,6,4,1,4,Szymon Marciniak
3857266,Denmark,France,4,6,2,11,Szymon Marciniak
3857284,Germany,Japan,6,6,0,7,Ivan Arcides Barton Cisneros
3857284,Japan,Germany,6,6,0,15,Ivan Arcides Barton Cisneros
3857254,Denmark,Tunisia,11,9,2,13,César Arturo Ramos Palazuelos
3857254,Tunisia,Denmark,9,11,1,10,César Arturo Ramos Palazuelos
3857265,Mexico,Poland,6,5,2,14,Chris Beath
3857265,Poland,Mexico,5,6,1,15,Chris Beath
3857301,Qatar,Senegal,6,6,3,11,Antonio Miguel Mateu Lahoz
3857301,Senegal,Qatar,6,6,3,13,Antonio Miguel Mateu Lahoz
3857268,Belgium,Canada,4,4,3,11,Janny Sikazwe
3857268,Canada,Belgium,4,4,2,15,Janny Sikazwe
3857269,Brazil,Switzerland,8,3,1,10,Ivan Arcides Barton Cisneros
3857269,Switzerland,Brazil,3,8,1,18,Ivan Arcides Barton Cisneros
3869321,Netherlands,Argentina,2,8,8,37,Antonio Miguel Mateu Lahoz
3869321,Argentina,Netherlands,8,2,8,22,Antonio Miguel Mateu Lahoz
3857292,Costa Rica,Germany,1,14,1,4,Stéphanie Frappart
3857292,Germany,Costa Rica,14,1,0,9,Stéphanie Frappart
3857295,Japan,Costa Rica,5,0,3,24,Michael Oliver
3857295,Costa Rica,Japan,0,5,3,13,Michael Oliver
3869685,Argentina,France,6,5,5,29,Szymon Marciniak
3869685,France,Argentina,5,6,3,19,Szymon Marciniak
3869684,Croatia,Morocco,6,3,0,14,Abdulrahman Ibrahim Al Jassim
3869684,Morocco,Croatia,3,6,2,15,Abdulrahman Ibrahim Al Jassim
3857256,Serbia,Switzerland,2,0,7,21,Fernando Andrés Rapallini
3857256,Switzerland,Serbia,0,2,4,14,Fernando Andrés Rapallini
3869151,Argentina,Australia,1,3,0,9,Szymon Marciniak
3869151,Australia,Argentina,3,1,2,18,Szymon Marciniak
3857257,Australia,Denmark,2,6,2,12,Mustapha Ghorbal
3857257,Denmark,Australia,6,2,1,10,Mustapha Ghorbal
3857258,Brazil,Serbia,5,4,0,8,Alireza Faghani
3857258,Serbia,Brazil,4,5,3,11,Alireza Faghani
3857288,Tunisia,Australia,5,2,3,15,Daniel Siebert
3857288,Australia,Tunisia,2,5,0,16,Daniel Siebert
3857267,Ecuador,Senegal,3,6,0,23,Clément Turpin
3857267,Senegal,Ecuador,6,3,1,10,Clément Turpin
3857287,Uruguay,South Korea,4,3,1,7,Clément Turpin
3857287,South Korea,Uruguay,3,4,1,11,Clément Turpin
3869486,Morocco,Portugal,3,9,3,18,Facundo Tello Figueroa
3869486,Portugal,Morocco,9,3,1,9,Facundo Tello Figueroa
3857260,Saudi Arabia,Mexico,1,8,6,21,Michael Oliver
3857260,Mexico,Saudi Arabia,8,1,1,18,Michael Oliver
3857264,Poland,Argentina,1,8,1,9,Danny Desmond Makkelie
3857264,Argentina,Poland,8,1,1,12,Danny Desmond Makkelie
3857289,Argentina,Mexico,4,2,1,15,Daniele Orsato
3857289,Mexico,Argentina,2,4,4,21,Daniele Orsato
3869254,Portugal,Switzerland,6,6,0,14,César Arturo Ramos Palazuelos
3869254,Switzerland,Portugal,6,6,2,15,César Arturo Ramos Palazuelos
3869118,England,Senegal,3,3,0,16,Ivan Arcides Barton Cisneros
3869118,Senegal,England,3,3,1,13,Ivan Arcides Barton Cisneros
3869519,Argentina,Croatia,2,4,2,20,Daniele Orsato
3869519,Croatia,Argentina,4,2,2,10,Daniele Orsato
3869354,England,France,5,2,1,10,Wilton Pereira Sampaio
3869354,France,England,2,5,3,15,Wilton Pereira Sampaio
3869552,France,Morocco,2,3,0,14,César Arturo Ramos Palazuelos
3869552,Morocco,France,3,2,1,14,César Arturo Ramos Palazuelos
3869420,Croatia,Brazil,3,7,2,23,Michael Oliver
3869420,Brazil,Croatia,7,3,3,25,Michael Oliver
3869220,Morocco,Spain,0,8,1,19,Fernando Andrés Rapallini
3869220,Spain,Morocco,8,0,1,14,Fernando Andrés Rapallini
3869219,Japan,Croatia,8,5,0,13,Ismail Elfath
3869219,Croatia,Japan,5,8,2,16,Ismail Elfath
3869253,Brazil,South Korea,5,4,0,8,Clément Turpin
3869253,South Korea,Brazil,4,5,1,12,Clément Turpin
3869152,France,Poland,7,1,1,11,Jesús Valenzuela Sáez
3869152,Poland,France,1,7,2,10,Jesús Valenzuela Sáez
3869117,Netherlands,United States,4,5,2,11,Wilton Pereira Sampaio
