match_id,date,team,opponent,corners_for,corners_against,cards,fouls,shots,sot_for,sot_against,referee,is_home
1489395,2026-06-21 19:00:00,Belgium,Iran,4,2,2,7,23,7,3,"Dario Herrera, Argentina",1
1489395,2026-06-21 19:00:00,Iran,Belgium,2,4,1,9,7,3,7,"Dario Herrera, Argentina",0
1489377,2026-06-15 19:00:00,Belgium,Egypt,2,7,2,15,15,3,3,"Ramon Abatti Abel, Brazil",1
1489377,2026-06-15 19:00:00,Egypt,Belgium,7,2,2,15,14,3,3,"Ramon Abatti Abel, Brazil",0
1512767,2026-06-06 13:00:00,Belgium,Tunisia,13,0,0,9,27,12,1,"Anastasios Sidiropoulos, Greece",1
1512767,2026-06-06 13:00:00,Tunisia,Belgium,0,13,3,9,7,1,12,"Anastasios Sidiropoulos, Greece",0
1512766,2026-06-02 16:00:00,Croatia,Belgium,3,4,2,13,5,1,4,"Rade Obrenovič, Slovenia",1
1512766,2026-06-02 16:00:00,Belgium,Croatia,4,3,2,13,8,4,1,"Rade Obrenovič, Slovenia",0
1514471,2026-04-01 01:00:00,Mexico,Belgium,3,2,2,14,10,3,2,R. Mendoza,1
1514471,2026-04-01 01:00:00,Belgium,Mexico,2,3,3,20,5,2,3,R. Mendoza,0
1503003,2026-03-28 19:30:00,United States,Belgium,6,6,2,12,12,5,10,"Esteban Ostojich, Uruguay",1
1503003,2026-03-28 19:30:00,Belgium,United States,6,6,0,21,21,10,5,"Esteban Ostojich, Uruguay",0
1323373,2025-11-18 19:45:00,Belgium,Liechtenstein,15,0,0,9,23,13,1,M. Al-Hakim,1
1323373,2025-11-18 19:45:00,Liechtenstein,Belgium,0,15,1,10,2,1,13,M. Al-Hakim,0
1323351,2025-11-15 14:00:00,Kazakhstan,Belgium,5,12,5,17,9,3,8,D. Rumsas,1
1323351,2025-11-15 14:00:00,Belgium,Kazakhstan,12,5,1,5,20,8,3,D. Rumsas,0
1323337,2025-10-13 18:45:00,Wales,Belgium,6,5,2,10,9,3,6,D. Siebert,1
1323337,2025-10-13 18:45:00,Belgium,Wales,5,6,1,6,16,6,3,D. Siebert,0
1323321,2025-10-10 18:45:00,Belgium,FYR Macedonia,13,2,3,15,25,5,0,H. U. Meler,1
1323321,2025-10-10 18:45:00,FYR Macedonia,Belgium,2,13,2,8,3,0,5,H. U. Meler,0
1323299,2025-09-07 18:45:00,Belgium,Kazakhstan,11,1,0,6,35,15,2,R. M. Petrescu,1
1323299,2025-09-07 18:45:00,Kazakhstan,Belgium,1,11,2,10,5,2,15,R. M. Petrescu,0
1323283,2025-09-04 18:45:00,Liechtenstein,Belgium,0,10,2,11,0,0,9,M. Krogh,1
1323283,2025-09-04 18:45:00,Belgium,Liechtenstein,10,0,0,12,24,9,0,M. Krogh,0
1539017,2026-06-22 21:00:00,France,Iraq,4,2,0,8,19,5,0,"Drew Fischer, Canada",1
1539017,2026-06-22 21:00:00,Iraq,France,2,4,1,4,4,0,5,"Drew Fischer, Canada",0
1489383,2026-06-16 19:00:00,France,Senegal,6,4,0,5,11,8,2,"Alireza Faghani, Australia",1
1489383,2026-06-16 19:00:00,Senegal,France,4,6,0,9,6,2,8,"Alireza Faghani, Australia",0
1542183,2026-06-08 19:10:00,France,Northern Ireland,5,1,0,6,27,5,2,"Sascha Stegemann, Germany",1
